name,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,humidity,mag_x,mag_y,mag_z,pressure,temperature
sensor_combined,1767473964002717434,0.1,0.96,-0.17,-0.37,-0.18,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473964002717286,0.1,0.96,-0.17,-0.37,-0.18,-0.18,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473964001805818,0.1,0.96,-0.17,-0.37,-0.18,-0.18,70.15,-29,-24,5,100.79,19.12
sensor_combined,1767473964001459731,0.1,0.96,-0.17,-0.37,-0.18,-0.18,70.15,-29,-23,5,100.79,19.12
sensor_combined,1767473964000704224,0.1,0.96,-0.17,-0.37,-0.18,-0.18,70.15,-29,-23,4,100.79,19.12
sensor_combined,1767473963999637871,0.1,0.96,-0.17,-0.37,-0.06,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473963983020554,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473963982364879,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473963981226655,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473963981083084,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473963980845958,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.15,-26,-24,5,100.79,19.12
sensor_combined,1767473963943026821,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.17,-26,-24,5,100.79,19.12
sensor_combined,1767473950395955538,0.1,0.96,-0.17,-0.24,-0.06,-0.18,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950395904742,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950395490712,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.17,-26,-24,5,100.79,19.12
sensor_combined,1767473950395007830,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.17,-26,-24,5,100.79,19.12
sensor_combined,1767473950394403765,0.1,0.96,-0.17,-0.24,-0.06,-0.06,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950393757664,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950393071379,0.1,0.96,-0.17,-0.24,-0.12,-0.18,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950392995121,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950392277539,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950390454493,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.17,-26,-23,5,100.79,19.12
sensor_combined,1767473950365747581,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.17,-26,-23,5,100.8,19.12
sensor_combined,1767473950319851423,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.15,-26,-23,5,100.8,19.12
sensor_combined,1767473936678211983,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.15,-26,-22,6,100.8,19.12
sensor_combined,1767473936677513605,0.1,0.96,-0.17,-0.37,-0.12,-0.18,70.15,-26,-23,6,100.8,19.12
